agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,execution time (sec) train,p_val_cuml_return_train_>,W-statistic_cuml,num_episodes (eval),avg return eval,stdev return eval,execution time (sec) eval,p_val_return_eval_>,W-statistic_return_eval
random,random,{},200.0,21.205,11.568,0.04,0.5,0.0,10.0,25.1,12.078,0.004,0.5,0.0
gpsarsa_agent_2,gpsarsa_agent,"{'gp_model_str': 'variational_gp', 'discount_factor': 0.99, 'batch_size': 32, 'replay_buffer_size': 64, 'exploring_starts': 100, 'max_dataset_size': 3000, 'kernel_type': 'rbf', 'sparsification_threshold': None, 'strategy': 'GPEpsilonGreedy'}",200.0,12.97,6.022,223.51,1.0,-15.609,10.0,9.9,1.524,1.047,1.0,-3.78
