agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,execution time (sec) train,VRAM usage (GB) train,Energy usage (J) train,p_val_cuml_return_train_>,W-statistic_cuml,num_episodes (eval),avg return eval,stdev return eval,execution time (sec) eval,VRAM usage (GB) eval,Energy usage (J) eval,p_val_return_eval_>,W-statistic_return_eval
random,random,{},100.0,22.67,12.864,3.034,0.0,2194.324,0.5,0.0,10.0,23.9,11.571,0.006,0.0,11.707,0.5,0.0
gpsarsa_agent_2,gpsarsa_agent,"{'gp_model_str': 'variational_gp', 'discount_factor': 0.99, 'batch_size': 32, 'replay_buffer_size': 64, 'exploring_starts': 100, 'max_dataset_size': 3000, 'kernel_type': 'rbf', 'sparsification_threshold': None, 'strategy': 'GPEpsilonGreedy'}",100.0,16.46,7.813,35.908,0.797,2319.232,1.0,-11.881,10.0,10.8,1.874,2.521,0.0,103.858,1.0,-3.515
gpsarsa_agent_1,gpsarsa_agent,"{'gp_model_str': 'exact_gp', 'discount_factor': 0.99, 'batch_size': 32, 'replay_buffer_size': 64, 'exploring_starts': 100, 'max_dataset_size': 2000, 'kernel_type': 'rbf', 'sparsification_threshold': None, 'strategy': 'upper_confidence_bound'}",100.0,12.51,7.304,24.83,0.879,1769.582,1.0,-10.756,10.0,22.6,4.142,3.025,0.0,79.076,0.248,0.68
