agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,execution time (sec) train,VRAM usage (GB) train,Energy usage (J) train,p_val_cuml_return_train_>,W-statistic_cuml,num_episodes (eval),avg return eval,stdev return eval,execution time (sec) eval,VRAM usage (GB) eval,Energy usage (J) eval,p_val_return_eval_>,W-statistic_return_eval
random,random,{},200.0,20.88,10.207,5.779,0.032,11.785,0.5,0.0,10.0,21.4,12.536,0.007,0.0,0.0,0.5,0.0
gpsarsa_agent_1,gpsarsa_agent,"{'gp_model_str': 'exact_gp', 'discount_factor': 0.99, 'batch_size': 32, 'replay_buffer_size': 64, 'exploring_starts': 100, 'max_dataset_size': 2000, 'kernel_type': 'rbf', 'sparsification_threshold': None, 'strategy': 'upper_confidence_bound'}",200.0,9.455,1.097,18.921,5.687,1356.697,1.0,-17.296,10.0,9.3,0.675,0.936,0.0,75.727,1.0,-3.78
