agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,max return train,execution time (sec) train,VRAM usage (GB) train,Energy usage (J) train,p_val_cuml_return_train_>,W-statistic_cuml,num_episodes (eval),avg return eval,stdev return eval,max return eval,execution time (sec) eval,VRAM usage (GB) eval,Energy usage (J) eval,p_val_return_eval_>,W-statistic_return_eval
GPQ2 (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",1000.0,-108.002,127.732,296.217,12757.826,2.35,1171179.725,0.0,11.984,30.0,-32.98,76.002,196.86,453.193,0.0,16322.424,0.0,7.146
GPQ (SVGP),gpq_agent,{},,,,,,,,,,,,,,,,,,
GPQ (DGP),gpq_agent,{},,,,,,,,,,,,,,,,,,
GPSARSA (DGP),gpsarsa_agent,{},,,,,,,,,,,,,,,,,,
DQN (MLP),sb_dqn,{},,,,,,,,,,,,,,,,,,
GPQ2 (DGP),gpq_agent,{},,,,,,,,,,,,,,,,,,
random,random,{},,,,,,,,,,,,,,,,,,
GPQ3 (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",1000.0,-219.605,129.443,40.143,2188.164,0.643,134909.922,1.0,-36.619,30.0,-166.841,100.364,-2.705,54.343,0.0,1557.026,0.552,-0.132
GPQEGREEDY (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'epsilon_greedy', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}], 'gp_e_greedy_steps': 100000}",1000.0,-172.1,109.911,143.538,1925.599,0.0,144204.598,0.255,0.659,30.0,-132.701,86.954,7.822,161.029,0.0,4689.422,0.034,1.823
GPQUCB (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'upper_confidence_bound', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}], 'ucb_beta': 1.5}",1000.0,-181.155,115.524,209.262,3062.602,0.0,194554.775,1.0,-29.404,30.0,-243.022,128.397,38.93,75.9,0.0,2196.866,0.999,-3.063
