agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,execution time (sec) train,p_val_cuml_return_train_>,W-statistic_cuml,num_episodes (eval),avg return eval,stdev return eval,execution time (sec) eval,p_val_return_eval_>,W-statistic_return_eval
random,random,{},100.0,20.5,8.926,0.025,0.5,0.0,10.0,23.0,8.151,0.004,0.5,0.0
gpsarsa_agent_1,gpsarsa_agent,"{'gp_model_str': 'exact_gp', 'discount_factor': 0.99, 'batch_size': 32, 'replay_buffer_size': 64, 'exploring_starts': 100, 'max_dataset_size': 1500, 'kernel_type': 'rbf', 'sparsification_threshold': None, 'strategy': 'upper_confidence_bound'}",100.0,24.54,16.838,287.377,0.0,4.259,10.0,58.7,8.46,11.618,0.0,3.78
