agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,execution time (sec) train,p_val_cuml_return_train_>,W-statistic_cuml,num_episodes (eval),avg return eval,stdev return eval,execution time (sec) eval,p_val_return_eval_>,W-statistic_return_eval
random,random,{},100.0,22.64,12.238,0.027,0.5,0.0,10.0,19.9,5.507,0.007,0.5,0.0
gpsarsa_agent_1,gpsarsa_agent,"{'gp_model_str': 'exact_gp', 'discount_factor': 0.99, 'batch_size': 32, 'replay_buffer_size': 64, 'exploring_starts': 100, 'max_dataset_size': 1500, 'kernel_type': 'rbf', 'sparsification_threshold': None, 'strategy': 'upper_confidence_bound'}",100.0,10.1,4.268,114.659,1.0,-10.973,10.0,9.0,0.667,1.121,1.0,-3.78
