agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,execution time (sec) train,VRAM usage (GB) train,Energy usage (J) train,p_val_cuml_return_train_>,W-statistic_cuml,num_episodes (eval),avg return eval,stdev return eval,execution time (sec) eval,VRAM usage (GB) eval,Energy usage (J) eval,p_val_return_eval_>,W-statistic_return_eval
random,random,{},200.0,21.68,11.996,5.697,-0.002,8.692,0.5,0.0,10.0,23.4,10.437,0.008,0.0,0.0,0.5,0.0
gpsarsa_agent_2,gpsarsa_agent,"{'gp_model_str': 'variational_gp', 'discount_factor': 0.99, 'batch_size': 32, 'replay_buffer_size': 64, 'exploring_starts': 100, 'max_dataset_size': 3000, 'kernel_type': 'rbf', 'sparsification_threshold': None, 'strategy': 'GPEpsilonGreedy'}",200.0,13.655,5.687,42.064,4.813,3478.078,1.0,-17.279,10.0,10.6,1.838,2.923,0.0,187.01,0.998,-2.873
