agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,execution time (sec) train,p_val_cuml_return_train_>,W-statistic_cuml,num_episodes (eval),avg return eval,stdev return eval,execution time (sec) eval,p_val_return_eval_>,W-statistic_return_eval
random,random,{},200.0,22.755,10.891,0.041,0.5,0.0,10.0,19.3,7.499,0.007,0.5,0.0
gpsarsa_agent_2,gpsarsa_agent,"{'gp_model_str': 'variational_gp', 'discount_factor': 0.99, 'batch_size': 32, 'replay_buffer_size': 64, 'exploring_starts': 100, 'max_dataset_size': 3000, 'kernel_type': 'rbf', 'sparsification_threshold': None, 'strategy': 'GPEpsilonGreedy'}",200.0,13.12,6.283,224.629,1.0,-13.008,10.0,9.7,0.949,1.098,0.999,-3.213
